"American Samoa ","OCEANIA                            ",57794,199,"290,4","58,29","-20,71","9,27",8000,"97,0","259,5",10,15,75,2,"22,46","3,27",,,
"Andorra ","WESTERN EUROPE                     ",71201,468,"152,1","0,00","6,6","4,05",19000,"100,0","497,2","2,22",0,"97,78",3,"8,71","6,25",,,
"Angola ","SUB-SAHARAN AFRICA                 ",12127071,1246700,"9,7","0,13",0,"191,19",1900,"42,0","7,8","2,41","0,24","97,35",,"45,11","24,2","0,096","0,658","0,246"
"Anguilla ","LATIN AMER. & CARIB    ",13477,102,"132,1","59,80","10,76","21,03",8600,"95,0","460,0",0,0,100,2,"14,17","5,34","0,04","0,18","0,78"
"Antigua & Barbuda ","LATIN AMER. & CARIB    ",69108,443,"156,0","34,54","-6,15","19,46",11000,"89,0","549,9","18,18","4,55","77,27",2,"16,93","5,37","0,038","0,22","0,743"
"Argentina ","LATIN AMER. & CARIB    ",39921833,2766890,"14,4","0,18","0,61","15,18",11200,"97,1","220,4","12,31","0,48","87,21",3,"16,73","7,55","0,095","0,358","0,547"
"Armenia ","C.W. OF IND. STATES ",2976372,29800,"99,9","0,00","-6,47","23,28",3500,"98,6","195,7","17,55","2,3","80,15",4,"12,07","8,23","0,239","0,343","0,418"
"Aruba ","LATIN AMER. & CARIB    ",71891,193,"372,5","35,49",0,"5,89",28000,"97,0","516,1","10,53",0,"89,47",2,"11,03","6,68","0,004","0,333","0,663"
"Australia ","OCEANIA                            ",20264082,7686850,"2,6","0,34","3,98","4,69",29000,"100,0","565,5","6,55","0,04","93,41",1,"12,14","7,51","0,038","0,262","0,7"
"Austria ","WESTERN EUROPE                     ",8192880,83870,"97,7","0,00",2,"4,66",30000,"98,0","452,2","16,91","0,86","82,23",3,"8,74","9,76","0,018","0,304","0,678"
"Azerbaijan ","C.W. OF IND. STATES ",7961619,86600,"91,9","0,00","-4,9","81,74",3400,"97,0","137,1","19,63","2,71","77,66",1,"20,74","9,75","0,141","0,457","0,402"
"Bolivia ","LATIN AMER. & CARIB    ",8989046,1098580,"8,2","0,00","-1,32","53,11",2400,"87,2","71,9","2,67","0,19","97,14","1,5","23,3","7,53","0,128","0,352","0,52"
"Bosnia & Herzegovina ","EASTERN EUROPE                     ",4498976,51129,"88,0","0,04","0,31","21,05",6100,,"215,4","13,6","2,96","83,44",4,"8,77","8,27","0,142","0,308","0,55"
"Botswana ","SUB-SAHARAN AFRICA                 ",1639833,600370,"2,7","0,00",0,"54,58",9000,"79,8","80,5","0,65","0,01","99,34",1,"23,08","29,5","0,024","0,469","0,507"
"Brazil ","LATIN AMER. & CARIB    ",188078227,8511965,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3","6,96","0,9","92,15",2,"16,56","6,17","0,084","0,4","0,516"
"Cameroon ","SUB-SAHARAN AFRICA                 ",17340702,475440,"36,5","0,08",0,"68,26",1800,"79,0","5,7","12,81","2,58","84,61","1,5","33,89","13,47","0,448","0,17","0,382"
"Canada ","NORTHERN AMERICA                   ",33098932,9984670,"3,3","2,02","5,96","4,75",29800,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684"
"Chile ","LATIN AMER. & CARIB    ",16134219,756950,"21,3","0,85",0,"8,8",9900,"96,2","213,0","2,65","0,42","96,93",3,"15,23","5,81","0,06","0,493","0,447"
"China ","ASIA (EX. NEAR EAST)         ",1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","15,4","1,25","83,35","1,5","13,25","6,97","0,125","0,473","0,403"
"Colombia ","LATIN AMER. & CARIB    ",43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","2,42","1,67","95,91",2,"20,48","5,58","0,125","0,342","0,533"
"Croatia ","EASTERN EUROPE                     ",4494749,56542,"79,5","10,32","1,58","6,84",10600,"98,5","420,4","26,09","2,27","71,65",,"9,61","11,48","0,07","0,308","0,622"
"Cuba ","LATIN AMER. & CARIB    ",11382820,110860,"102,7","3,37","-1,58","6,33",2900,"97,0","74,7","33,05","7,6","59,35",2,"11,89","7,22","0,055","0,261","0,684"
"Egypt ","NORTHERN AFRICA                    ",78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65",1,"22,94","5,23","0,149","0,357","0,493"
"Ethiopia ","SUB-SAHARAN AFRICA                 ",74777981,1127127,"66,3","0,00",0,"95,32",700,"42,7","8,2","10,71","0,75","88,54",2,"37,98","14,86","0,475","0,099","0,426"
"Faroe Islands ","WESTERN EUROPE                     ",47246,1399,"33,8","79,84","1,41","6,24",22000,,"503,8","2,14",0,"97,86",,"14,05","8,7","0,27","0,11","0,62"
"Fiji ","OCEANIA                            ",905949,18270,"49,6","6,18","-3,14","12,62",5800,"93,7","112,6","10,95","4,65","84,4",2,"22,55","5,65","0,089","0,135","0,776"
"Finland ","WESTERN EUROPE                     ",5231372,338145,"15,5","0,37","0,95","3,57",27400,"100,0","405,3","7,19","0,03","92,78",3,"10,45","9,86","0,028","0,295","0,676"
"Guam ","OCEANIA                            ",171019,541,"316,1","23,20",0,"6,94",21000,"99,0","492,0","9,09","16,36","74,55",2,"18,79","4,48",,,
"Guatemala ","LATIN AMER. & CARIB    ",12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2","0,227","0,188","0,585"
"Guernsey ","WESTERN EUROPE                     ",65409,78,"838,6","64,10","3,84","4,71",20000,,"842,4",,,,3,"8,81","10,01","0,03","0,1","0,87"
"Guinea ","SUB-SAHARAN AFRICA                 ",9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","3,63","2,58","93,79",2,"41,76","15,48","0,237","0,362","0,401"
"Guinea-Bissau ","SUB-SAHARAN AFRICA                 ",1442029,36120,"39,9","0,97","-1,57","107,17",800,"42,4","7,4","10,67","8,82","80,51",2,"37,22","16,53","0,62","0,12","0,26"
"India ","ASIA (EX. NEAR EAST)         ",1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","54,4","2,74","42,86","2,5","22,01","8,18","0,186","0,276","0,538"
